user_id,top_isbns
2,"840734530,399135782,449005615,440234743,316769487,8445071408,1879384493,446310786,140067477,60929790"
8,"553347594,385336772,140067477,316735736,8445071408,449005615,8445071777,1558531025,679865691,345417623"
9,"451166892,8476409419,786868716,553582747,385336772,074322678X,345372700,8401422825,316735736,375509038"
10,"8445071408,689821166,3404921038,316769487,452264464,553347594,8401422825,60914068,451208080,2005018"
12,"1558531025,399135782,374157065,380778556,385336772,446608653,345372700,3404921038,1569871213,441783589"
14,"8401422825,609804618,8445071408,786868716,393045218,375509038,452264464,1881320189,446310786,425099148"
16,"8445071408,553347594,60914068,446310786,399135782,966986105,2005018,8445071777,1881320189,684823802"
17,"1881320189,8445071408,449005615,399135782,074322678X,446310786,080652121X,60929790,847223973X,345372700"
19,"399135782,1879384493,1881320189,446310786,8445071408,8476409419,345417623,1558531025,966986105,553347594"
20,"8445071408,1879384493,1881320189,8445071777,679429220,847223973X,8401422825,1900850303,2740230,451410319"
22,"8445071408,840734530,446310786,786868716,8445071777,140067477,1569871213,60929790,345417623,8401422825"
23,"441783589,8445071408,786868716,316769487,1881320189,446310786,449005615,966986105,2740230,399135782"
26,"671621009,446310786,786868716,1900850303,964778319,380778556,8445071408,399135782,60914068,553583468"
32,"446310786,8445071408,60938412,074322678X,2005018,316769487,345417623,2070423204,8476409419,609804618"
36,"446310786,038572179X,449005615,8401422825,8445071408,345402871,679810307,316769487,847223973X,345372700"
39,"449005615,8445071408,439095026,812575482,3404921038,1841721522,380778556,8401422825,425163091,679429220"
42,"8445071408,786868716,60168013,553583468,8401422825,425099148,345372700,399135782,074322678X,038572179X"
44,"8445071408,812575482,8401422825,074322678X,449005615,399135782,553582747,380778556,553347594,1841721522"
51,"786868716,399135782,553347594,345372700,609804618,689821166,60168013,60914068,1569871213,451406923"
53,"60929790,60976845,8445071408,1558531025,345417623,380619458,553582747,446310786,440949424,671621009"
56,"399135782,316769487,1881320189,446310786,8445071408,842342702,449005615,1879384493,312252617,452264464"
64,"446310786,399135782,1879384493,1569871213,609804618,1900850303,966986105,074322678X,316769487,2005018"
67,"8445071408,140067477,375500766,2005018,8401422825,679865691,074322678X,1558531025,316769487,1879384493"
68,"966986105,8445071408,8445071777,553347594,345417623,60168013,399135782,812575482,847223973X,8401422825"
69,"441783589,8476409419,8401422825,786868716,140067477,1841721522,446310786,679429220,679810307,840734530"
73,"8445071408,60929790,2005018,074322678X,8401422825,966986105,679865691,786868716,847223973X,684823802"
75,"446310786,399135782,2740230,312252617,8445071408,553347594,3404921038,345372700,1900850303,375410538"
77,"8445071408,446310786,316769487,399135782,1881320189,786868716,393045218,679865691,1569871213,8401422825"
79,"8445071408,786868716,60914068,840734530,374157065,609804618,60938412,2740230,8445071777,1841721522"
81,"786868716,1558531025,8476409419,074322678X,609804618,8445071408,553347594,1569871213,345417623,452264464"
82,"8445071408,553347594,316769487,316735736,1900850303,786868716,3404921038,446310786,609804618,140067477"
87,"8445071408,1881320189,8401422825,8445071777,2740230,345465083,451208080,671621009,074322678X,446310786"
88,"8445071777,345372700,449005615,441783589,399135782,1558531025,847223973X,8476409419,609804618,316769487"
91,"385336772,553347594,316769487,399135782,8445071408,140067477,440223571,345417623,966986105,375410538"
92,"074322678X,689821166,399135782,316769487,446608653,2740230,449005615,2005018,446310786,1881320189"
95,"446310786,140067477,964778319,375509038,8401422825,8445071408,1879384493,2740230,847223973X,375406328"
97,"446310786,385336772,966986105,074322678X,8445071408,689821166,964778319,847223973X,316735736,1879384493"
99,"966986105,8445071408,60929790,345372700,140067477,067976397X,679865691,2740230,8445071777,440234743"
107,"8445071408,451166892,345417623,380778556,847223973X,446310786,786868716,074322678X,679865691,840734530"
110,"446310786,8445071777,812575482,1841721522,345372700,316769487,380778556,1558531025,8476409419,60914068"
114,"8445071408,553347594,074322678X,553583468,1879384493,966986105,380778556,1900850303,679865691,1558531025"
125,"8445071408,8401422825,2740230,786868716,425099148,316769487,3404921038,440225701,847223973X,60976845"
129,"316769487,446310786,345372700,1569871213,8445071408,8445071777,553347594,140067477,60929790,8401422825"
133,"446310786,553347594,375500766,812575482,8445071408,451208080,449005615,452264464,345417623,679810307"
135,"786868716,446310786,399135782,609804618,679865691,8445071408,684823802,3404921038,345372700,1841721522"
139,"446310786,140067477,60973129,689821166,966986105,679810307,1881320189,374157065,1900850303,786868716"
141,"1881320189,609804618,8445071408,2005018,446310786,786868716,553347594,8476409419,316748641,425099148"
144,"374157065,1558531025,840734530,345372700,8445071777,553347594,671888587,345417623,446310786,452264464"
151,"966986105,446310786,345372700,3404921038,1569871213,609804618,425099148,399135782,380778556,553583468"
165,"399135782,671621009,449005615,553582747,446310786,8445071408,847223973X,345372700,553347594,786868716"
169,"2005018,609804618,8445071408,399135782,380778556,8445071777,8476409419,786868716,375500766,3404921038"
176,"553347594,609804618,8445071408,316769487,345372700,966986105,446310786,399135782,8401422825,60168013"
178,"609804618,812575482,8445071408,964778319,1903019699,553584383,8476409419,847223973X,380778556,8401422825"
183,"316769487,446310786,609804618,140067477,2005018,449005615,8445071408,399135782,964778319,385336772"
185,"8445071408,840734530,441783589,609804618,316769487,812575482,8401422825,345465083,1879384493,8445071777"
190,"375509038,679865691,966986105,609804618,812575482,671867156,446310786,671621009,8445071408,385336772"
193,"8445071408,446310786,553347594,074322678X,449005615,8445071777,609804618,345372700,140067477,374157065"
199,"786868716,8476409419,375406328,140067477,2005018,2740230,8401422825,840734530,60973129,60976845"
204,"8445071408,446310786,385336772,8476409419,553347594,2740230,966986105,609804618,671621009,1881320189"
207,"8445071408,449005615,3404921038,440223571,60914068,1879384493,60929790,380715899,380778556,345417623"
242,"3404921038,399135782,446310786,1879384493,451208080,449005615,1841721522,074322678X,8445071408,140067477"
243,"966986105,553347594,689821166,8401422825,385336772,316769487,380778556,60168013,140067477,8445071777"
254,"966986105,553347594,8445071408,345372700,679865691,684823802,140067477,3404921038,60914068,1879384493"
280,"446310786,8445071408,8476409419,074322678X,399135782,452264464,449005615,1900850303,140067477,689821166"
367,"2740230,446310786,609804618,8445071777,964778319,345402871,316769487,966986105,345465083,345372700"
388,"399135782,8401422825,8445071408,446310786,60938412,449005615,1879384493,8476409419,374157065,345417623"
486,"60914068,1558531025,60929790,345372700,8445071777,451410319,1879384493,452264464,385336772,374157065"
487,"8445071408,399135782,609804618,786868716,449005615,840734530,375509038,380715899,812575482,375500766"
507,"1881320189,8445071408,140067477,1879384493,684823802,449005615,60914068,312252617,446310786,2740230"
559,"446310786,425099148,553584383,553347594,812575482,140067477,440225701,2005018,553582747,8445071408"
569,"60929790,399135782,609804618,786868716,446310786,375509038,8445071408,140067477,553347594,316769487"
626,"1841721522,786868716,553347594,1900850303,452264464,1558531025,3404921038,1569871213,440949424,8445071408"
638,"8445071408,966986105,3404921038,1558531025,60976845,553347594,074322678X,1900850303,60168013,1881320189"
735,"8445071408,345372700,2005018,60168013,847223973X,316769487,812575482,2740230,679810307,1558531025"
843,"449005615,1881320189,375500766,440234743,1879384493,399135782,2740230,609804618,3404921038,080652121X"
882,"8445071408,446310786,375500766,8476409419,786868716,140067477,316769487,842342702,689821166,2740230"
899,"8445071408,345417623,399135782,847223973X,074322678X,449005615,425099148,345372700,553347594,964778319"
901,"8401422825,449005615,1558531025,451406923,8476409419,8445071408,786868716,964778319,553347594,440949424"
970,"1558531025,847223973X,1881320189,446310786,3404921038,812575482,449005615,8476409419,345372700,8401422825"
1025,"140067477,399135782,553347594,553582747,8445071408,446310786,345372700,8401422825,074322678X,60938412"
1032,"553347594,8445071408,840734530,847223973X,449005615,345372700,380778556,345417623,452264464,440234743"
